Alias,Phone,Terminate,Position,Range,Location,Password,IsAvalible,Prefered Currency,toBitcoin
Adam Savage,6665554444,0,Mechanic,9023,M1,randysavage,1,C4,200
Baby,8172321111,0,Deliverer,50,Wooden Crib,infantchild,1,Doge coin,23
Big Joe,9834093244,0,Acquirer,100,Martha's Basement,bigman,1,USD,100
Big Joe 2,8439349949,0,Mechanic,100,Martha's Attic,doublebig,1,CAD,70
Clifford,9234327685,1,Mechanic,0,Elizabeth's backyard,BigRedDog,1,Mail,5
Dominos,8398574737,0,Deliverer,70,About the corner,theywantme,1,Pepperoni,1009
Dora the Explorer,8392028485,0,HR,92932,Out 'n About Lane,spellwithme,1,JPY,109
Freddy,3142347777,1,Acquirer,30,Carly's Studio,GoNightmares,0,USD,100
Jamie,7693827486,0,Mechanic,299032,M1,sandyravage,1,Pesos,1
Joey,5718499333,0,Mechanic,95430903,Trisko Lane,jobe0127,1,Euro,45
Jon,9034994999,0,Acquirer,923,Trailer Park in Jersey at exit 15,dynasty,1,JPY,109
Jon the Second,9392029392,0,Mechanic,700,The Vatican,secondcoming,1,Euro,45
Michelle Obama,3128675309,0,HR,8000,Barack's House,FFLOsogoodTUS,1,USD,100
Miss Tessmocker,9537263625,0,Secretary,0,Luthor Mansion,imbetterthanyou,1,JPY,109
Mod Pizza,2345367278,0,Deliverer,10,NYC,modificationtriangle,1,Pesos,1
Neil Armstrong,8765658743,0,Acquirer,10000000,Moon,SpaceSpace,1,Euro,45
Neil Degrass Tyson,8153457655,0,Mechanic,50,Hayden Planetarium,ScienceRulez,1,USD,100
Papa Johns,3900110392,0,Deliverer,200,Mediocre land,ILovePizzaMore,1,JPY,109
Pizza Hut,1939292294,1,Deliverer,100,Lack of flavor town,ILovePizza,1,USD,100
